work_0;idle_0;heavies_0;work_1;idle_1;heavies_1;work_2;idle_2;heavies_2;work_3;idle_3;heavies_3;total_time;total_heavies;total_idle
190;0;200;5;185;0;5;185;0;5;185;0;190;200;555
191;0;200;5;186;0;5;186;0;5;186;0;191;200;558
194;0;200;5;189;0;5;189;0;5;189;0;194;200;567
192;0;200;5;187;0;5;187;0;5;187;0;192;200;561
192;0;200;5;187;0;5;187;0;5;187;0;192;200;561
191;0;200;5;186;0;5;186;0;5;186;0;191;200;558
190;0;200;5;185;0;5;185;0;5;185;0;190;200;555
192;0;200;5;187;0;5;187;0;5;187;0;192;200;561
190;0;200;5;185;0;5;185;0;5;185;0;190;200;555
190;0;200;5;185;0;5;185;0;5;185;0;190;200;555
193;0;200;5;188;0;5;188;0;5;188;0;193;200;564
191;0;200;5;186;0;5;186;0;5;186;0;191;200;558
190;0;200;5;185;0;5;185;0;5;185;0;190;200;555
190;0;200;5;185;0;5;185;0;5;185;0;190;200;555
189;0;200;5;184;0;5;184;0;5;184;0;189;200;552
193;0;200;5;188;0;5;188;0;5;188;0;193;200;564
191;0;200;5;186;0;5;186;0;5;186;0;191;200;558
193;0;200;5;188;0;5;188;0;5;188;0;193;200;564
190;0;200;5;185;0;5;185;0;5;185;0;190;200;555
193;0;200;5;188;0;5;188;0;5;188;0;193;200;564
190;0;200;5;185;0;5;185;0;5;185;0;190;200;555
191;0;200;5;186;0;5;186;0;5;186;0;191;200;558
189;0;200;5;184;0;5;184;0;5;184;0;189;200;552
191;0;200;5;186;0;5;186;0;5;186;0;191;200;558
189;0;200;5;184;0;5;184;0;5;184;0;189;200;552
191;1;200;5;187;0;5;187;0;5;187;0;192;200;562
191;0;200;5;186;0;5;186;0;5;186;0;191;200;558
192;0;200;5;187;0;5;187;0;5;187;0;192;200;561
192;0;200;5;187;0;5;187;0;5;187;0;192;200;561
190;0;200;5;185;0;5;185;0;5;185;0;190;200;555
191;0;200;5;186;0;5;186;0;5;186;0;191;200;558
194;0;200;5;189;0;5;189;0;5;189;0;194;200;567
193;0;200;5;188;0;5;188;0;5;188;0;193;200;564
194;0;200;5;189;0;5;189;0;5;189;0;194;200;567
194;0;200;5;189;0;5;189;0;5;189;0;194;200;567
196;0;200;5;191;0;5;191;0;5;191;0;196;200;573
195;0;200;5;190;0;5;190;0;5;190;0;195;200;570
196;0;200;5;191;0;5;191;0;5;191;0;196;200;573
195;0;200;5;190;0;5;190;0;5;190;0;195;200;570
190;0;200;5;185;0;5;185;0;5;185;0;190;200;555
189;0;200;5;184;0;5;184;0;5;184;0;189;200;552
191;0;200;5;186;0;5;186;0;5;186;0;191;200;558
190;0;200;5;185;0;5;185;0;5;185;0;190;200;555
190;0;200;5;185;0;5;185;0;5;185;0;190;200;555
194;0;200;5;189;0;5;189;0;5;189;0;194;200;567
193;0;200;5;188;0;5;188;0;5;188;0;193;200;564
195;0;200;5;190;0;5;190;0;5;190;0;195;200;570
194;0;200;5;189;0;5;189;0;5;189;0;194;200;567
193;0;200;5;188;0;5;188;0;5;188;0;193;200;564
192;0;200;5;187;0;5;187;0;5;187;0;192;200;561
190;0;200;5;185;0;5;185;0;5;185;0;190;200;555
192;0;200;5;187;0;5;187;0;5;187;0;192;200;561
189;0;200;5;184;0;5;184;0;5;184;0;189;200;552
192;0;200;5;187;0;5;187;0;5;187;0;192;200;561
190;0;200;5;185;0;5;185;0;5;185;0;190;200;555
190;0;200;5;185;0;5;185;0;5;185;0;190;200;555
190;0;200;5;185;0;5;185;0;5;185;0;190;200;555
191;0;200;5;186;0;5;186;0;5;186;0;191;200;558
191;0;200;5;186;0;5;186;0;5;186;0;191;200;558
190;0;200;5;185;0;5;185;0;5;185;0;190;200;555
191;0;200;5;186;0;5;186;0;5;186;0;191;200;558
191;0;200;5;186;0;5;186;0;5;186;0;191;200;558
190;0;200;5;185;0;5;185;0;5;185;0;190;200;555
192;0;200;5;187;0;5;187;0;5;187;0;192;200;561
189;0;200;5;184;0;5;184;0;5;184;0;189;200;552
