work_0;idle_0;heavies_0;work_1;idle_1;heavies_1;work_2;idle_2;heavies_2;work_3;idle_3;heavies_3;total_time;total_heavies;total_idle
76;0;50;63;13;50;76;0;50;65;11;50;76;200;24
66;12;50;77;1;50;65;13;50;77;1;50;78;200;27
64;10;50;65;9;50;74;0;50;71;3;50;74;200;22
63;11;50;74;0;50;73;1;50;63;11;50;74;200;23
74;1;50;64;11;50;64;11;50;75;0;50;75;200;23
73;0;50;63;10;50;69;4;50;68;5;50;73;200;19
74;0;50;65;9;50;70;4;50;74;0;50;74;200;13
73;1;50;64;10;50;73;1;50;64;10;50;74;200;22
69;5;50;74;0;50;73;1;50;73;1;50;74;200;7
74;0;50;66;8;50;63;11;50;74;0;50;74;200;19
74;0;50;66;8;50;72;2;50;74;0;50;74;200;10
74;1;50;64;11;50;75;0;50;63;12;50;75;200;24
74;0;50;63;11;50;74;0;50;63;11;50;74;200;22
74;1;50;64;11;50;74;1;50;63;12;50;75;200;25
74;0;50;64;10;50;73;1;50;62;12;50;74;200;23
67;7;50;74;0;50;66;8;50;67;7;50;74;200;22
72;1;50;73;0;50;73;0;50;67;6;50;73;200;7
75;0;50;64;11;50;73;2;50;64;11;50;75;200;24
73;1;50;70;4;50;65;9;50;74;0;50;74;200;14
68;6;50;63;11;50;69;5;50;74;0;50;74;200;22
78;0;50;64;14;50;76;2;50;70;8;50;78;200;24
72;3;50;74;1;50;75;0;50;69;6;50;75;200;10
75;0;50;73;2;50;74;1;50;70;5;50;75;200;8
73;0;50;64;9;50;63;10;50;73;0;50;73;200;19
72;6;50;78;0;50;67;11;50;72;6;50;78;200;23
76;6;50;82;0;50;78;4;50;79;3;50;82;200;13
68;24;50;69;23;50;92;0;50;89;3;50;92;200;50
79;13;50;91;1;50;92;0;50;92;0;50;92;200;14
78;0;50;66;12;50;72;6;50;77;1;50;78;200;19
74;13;50;87;0;50;83;4;50;81;6;50;87;200;23
74;6;50;80;0;50;77;3;50;74;6;50;80;200;15
75;7;50;82;0;50;66;16;50;82;0;50;82;200;23
77;1;50;77;1;50;75;3;50;76;2;50;78;200;7
76;15;50;90;1;50;85;6;50;87;4;50;91;200;26
96;3;50;98;1;50;98;1;50;97;2;50;99;200;7
78;0;50;74;4;50;64;14;50;77;1;50;78;200;19
92;2;50;86;8;50;94;0;50;79;15;50;94;200;25
80;0;50;66;14;50;74;6;50;76;4;50;80;200;24
63;20;50;80;3;50;82;1;50;67;16;50;83;200;40
100;3;50;93;10;50;103;0;50;91;12;50;103;200;25
97;5;50;91;11;50;102;0;50;97;5;50;102;200;21
76;1;50;74;3;50;63;14;50;77;0;50;77;200;18
74;0;50;70;4;50;74;0;50;64;10;50;74;200;14
74;1;50;75;0;50;62;13;50;68;7;50;75;200;21
74;0;50;64;10;50;74;0;50;66;8;50;74;200;18
67;10;50;75;2;50;75;2;50;77;0;50;77;200;14
78;0;50;63;15;50;75;3;50;68;10;50;78;200;28
79;6;50;65;20;50;84;1;50;77;8;50;85;200;35
86;1;50;64;23;50;87;0;50;64;23;50;87;200;47
