work_0;idle_0;heavies_0;work_1;idle_1;heavies_1;work_2;idle_2;heavies_2;work_3;idle_3;heavies_3;total_time;total_heavies;total_idle
46;32;46;54;24;55;47;31;48;49;29;51;78;200;116
48;27;49;50;25;51;49;26;50;50;25;50;75;200;103
51;19;52;45;25;46;46;24;47;50;20;55;70;200;88
53;16;54;45;24;45;46;23;46;51;18;55;69;200;81
53;16;53;46;23;46;46;23;46;51;18;55;69;200;80
52;21;53;47;26;48;49;24;49;48;25;50;73;200;96
49;21;51;47;23;47;49;21;50;51;19;52;70;200;84
48;26;48;49;25;50;51;23;52;49;25;50;74;200;99
44;28;46;46;26;46;53;19;54;51;21;54;72;200;94
51;22;52;47;26;49;51;22;52;46;27;47;73;200;97
47;26;47;48;25;48;54;19;54;50;23;51;73;200;93
52;17;53;48;21;53;46;23;47;46;23;47;69;200;84
48;30;48;47;31;47;51;27;53;52;26;52;78;200;114
53;24;54;45;32;45;44;33;44;55;22;57;77;200;111
52;20;57;45;27;47;47;25;48;46;26;48;72;200;98
47;22;47;47;22;52;47;22;47;53;16;54;69;200;82
50;24;54;49;25;49;48;26;48;49;25;49;74;200;100
47;25;47;47;25;49;47;25;48;55;17;56;72;200;92
50;19;52;46;23;48;46;23;46;50;19;54;69;200;84
46;25;46;51;20;54;43;28;45;53;18;55;71;200;91
49;26;49;48;27;48;56;19;59;44;31;44;75;200;103
43;33;43;55;21;60;52;24;54;43;33;43;76;200;111
47;23;52;48;22;48;47;23;50;49;21;50;70;200;89
49;22;51;46;25;47;50;21;52;49;22;50;71;200;90
48;24;48;46;26;48;50;22;52;50;22;52;72;200;94
53;20;54;48;25;48;49;24;49;48;25;49;73;200;94
45;26;45;54;17;55;52;19;52;46;25;48;71;200;87
52;17;53;46;23;47;48;21;50;50;19;50;69;200;80
53;17;54;44;26;45;46;24;46;53;17;55;70;200;84
46;23;46;53;16;53;45;24;49;49;20;52;69;200;83
47;26;48;48;25;48;48;25;50;53;20;54;73;200;96
51;19;53;45;25;46;45;25;47;54;16;54;70;200;85
44;31;44;52;23;56;54;21;56;44;31;44;75;200;106
52;17;53;46;23;46;46;23;46;52;17;55;69;200;80
48;25;52;47;26;48;48;25;49;51;22;51;73;200;98
48;25;48;48;25;48;47;26;48;53;20;56;73;200;96
46;27;48;47;26;48;49;24;49;52;21;55;73;200;98
47;24;47;49;22;50;48;23;48;54;17;55;71;200;86
44;25;45;53;16;55;45;24;45;53;16;55;69;200;81
