work_0;idle_0;heavies_0;work_1;idle_1;heavies_1;work_2;idle_2;heavies_2;work_3;idle_3;heavies_3;total_time;total_heavies;total_idle
47;15;48;47;15;50;47;15;52;47;15;50;62;200;60
52;11;53;50;13;55;45;18;46;45;18;46;63;200;60
48;14;54;48;14;52;46;16;46;46;16;48;62;200;60
49;14;53;52;11;53;46;17;47;45;18;47;63;200;60
50;11;52;50;11;54;46;15;47;46;15;47;61;200;52
51;11;54;51;11;55;46;16;46;45;17;45;62;200;55
50;12;54;47;15;53;46;16;47;45;17;46;62;200;60
52;11;53;51;12;55;46;17;46;46;17;46;63;200;57
46;15;53;48;13;53;46;15;46;46;15;48;61;200;58
50;12;54;47;15;54;45;17;46;43;19;46;62;200;63
50;11;52;51;10;53;46;15;48;47;14;47;61;200;50
49;13;54;47;15;50;46;16;46;47;15;50;62;200;59
48;14;53;47;15;53;45;17;47;46;16;47;62;200;62
50;12;54;47;15;50;46;16;46;47;15;50;62;200;58
51;11;54;46;16;54;45;17;46;46;16;46;62;200;60
50;10;53;49;11;51;47;13;48;48;12;48;60;200;46
51;11;53;48;14;54;47;15;47;44;18;46;62;200;58
50;11;53;45;16;47;52;9;53;47;14;47;61;200;50
51;9;52;47;13;52;44;16;48;46;14;48;60;200;52
51;11;53;50;12;55;45;17;46;44;18;46;62;200;58
49;11;52;48;12;51;45;15;49;47;13;48;60;200;51
50;14;53;50;14;52;47;17;48;45;19;47;64;200;64
48;12;52;45;15;52;43;17;48;44;16;48;60;200;60
47;16;54;51;12;54;46;17;46;46;17;46;63;200;62
46;13;53;48;11;52;45;14;48;43;16;47;59;200;54
53;10;54;50;13;53;46;17;46;46;17;47;63;200;57
49;12;52;51;10;53;46;15;47;46;15;48;61;200;52
50;9;52;48;11;51;46;13;49;48;11;48;59;200;44
51;10;53;46;15;47;49;12;53;46;15;47;61;200;52
51;10;52;47;14;53;44;17;47;45;16;48;61;200;57
51;11;53;49;13;54;45;17;46;47;15;47;62;200;56
50;11;52;50;11;53;45;16;47;45;16;48;61;200;54
50;12;54;48;14;54;46;16;46;45;17;46;62;200;59
47;14;53;48;13;53;46;15;47;47;14;47;61;200;56
50;11;53;48;13;53;45;16;47;46;15;47;61;200;55
48;14;54;49;13;52;46;16;46;48;14;48;62;200;57
50;12;54;50;12;54;46;16;46;44;18;46;62;200;58
49;13;54;50;12;52;46;16;46;48;14;48;62;200;55
50;11;53;48;13;48;46;15;46;48;13;53;61;200;52
44;16;48;46;14;49;46;14;52;46;14;51;60;200;58
51;11;52;48;14;55;46;16;46;46;16;47;62;200;57
45;14;52;48;11;51;47;12;48;44;15;49;59;200;52
47;12;51;45;14;51;46;13;48;45;14;50;59;200;53
47;12;52;50;9;51;46;13;49;43;16;48;59;200;50
49;13;54;52;10;54;45;17;46;46;16;46;62;200;56
50;10;51;51;9;51;48;12;49;48;12;49;60;200;43
49;12;50;51;10;53;44;17;47;49;12;50;61;200;51
48;13;49;51;10;53;45;16;49;45;16;49;61;200;55
47;13;51;46;14;52;46;14;49;47;13;48;60;200;54
47;14;48;50;11;52;48;13;52;47;14;48;61;200;52
48;16;51;49;15;51;45;19;49;47;17;49;64;200;67
49;23;52;52;20;52;48;24;49;47;25;47;72;200;92
50;25;51;49;26;50;46;29;49;50;25;50;75;200;105
52;31;52;52;31;52;48;35;48;48;35;48;83;200;132
53;36;53;54;35;55;46;43;46;46;43;46;89;200;157
49;37;51;51;35;51;49;37;49;49;37;49;86;200;146
51;41;51;52;40;52;48;44;48;48;44;49;92;200;169
51;45;51;51;45;52;48;48;49;48;48;48;96;200;186
60;43;50;52;51;52;68;35;48;59;44;50;103;200;173
55;52;51;56;51;49;64;43;50;66;41;50;107;200;187
53;57;53;67;43;49;78;32;47;65;45;51;110;200;177
70;44;53;85;29;48;71;43;52;85;29;47;114;200;145
86;28;51;88;26;51;80;34;50;87;27;48;114;200;115
99;21;51;102;18;51;96;24;49;97;23;49;120;200;86
99;23;51;99;23;52;97;25;49;94;28;48;122;200;99
100;22;52;94;28;48;100;22;52;95;27;48;122;200;99
97;25;50;96;26;50;97;25;50;98;24;50;122;200;100
100;27;50;100;27;52;96;31;49;97;30;49;127;200;115
102;28;52;97;33;51;95;35;48;97;33;49;130;200;129
99;30;51;100;29;51;95;34;50;96;33;48;129;200;126
99;34;51;100;33;52;97;36;49;95;38;48;133;200;141
100;32;51;100;32;51;92;40;49;96;36;49;132;200;140
100;32;52;97;35;50;98;34;49;96;36;49;132;200;137
99;35;51;102;32;51;96;38;49;97;37;49;134;200;142
101;32;51;99;34;51;97;36;49;96;37;49;133;200;139
104;31;53;98;37;50;92;43;47;96;39;50;135;200;150
103;31;52;97;37;50;93;41;48;97;37;50;134;200;146
103;30;52;97;36;52;96;37;48;95;38;48;133;200;141
100;33;51;101;32;51;97;36;49;95;38;49;133;200;139
99;32;51;98;33;51;97;34;49;96;35;49;131;200;134
102;36;52;99;39;50;97;41;48;98;40;50;138;200;156
97;34;49;99;32;51;97;34;49;101;30;51;131;200;130
101;41;51;104;38;53;96;46;48;96;46;48;142;200;171
98;32;50;95;35;50;96;34;50;96;34;50;130;200;135
98;34;50;97;35;51;96;36;50;96;36;49;132;200;141
101;31;51;100;32;50;93;39;50;97;35;49;132;200;137
98;35;52;99;34;50;95;38;49;93;40;49;133;200;147
105;35;53;105;35;54;92;48;47;91;49;46;140;200;167
102;36;53;104;34;54;92;46;47;91;47;46;138;200;163
102;35;53;100;37;52;94;43;47;93;44;48;137;200;159
100;35;52;98;37;49;95;40;48;99;36;51;135;200;148
98;33;51;96;35;51;95;36;49;95;36;49;131;200;140
99;33;51;101;31;51;95;37;49;96;36;49;132;200;137
103;34;54;103;34;53;94;43;47;92;45;46;137;200;156
102;29;54;103;28;53;92;39;46;92;39;47;131;200;135
100;28;51;101;27;51;94;34;48;98;30;50;128;200;119
101;25;51;96;30;51;97;29;49;96;30;49;126;200;114
98;31;52;100;29;51;98;31;49;96;33;48;129;200;124
102;32;51;99;35;51;97;37;49;96;38;49;134;200;142
95;39;50;102;32;53;98;36;49;94;40;48;134;200;147
