work_0;idle_0;heavies_0;work_1;idle_1;heavies_1;work_2;idle_2;heavies_2;work_3;idle_3;heavies_3;total_time;total_heavies;total_idle
215;0;200;5;210;0;5;210;0;6;209;0;215;200;629
223;0;200;5;218;0;6;217;0;6;217;0;223;200;652
224;0;200;6;218;0;6;218;0;6;218;0;224;200;654
225;0;200;6;219;0;6;219;0;6;219;0;225;200;657
232;0;200;6;226;0;6;226;0;7;225;0;232;200;677
231;0;200;6;225;0;7;224;0;7;224;0;231;200;673
230;0;200;6;224;0;7;223;0;7;223;0;230;200;670
238;0;200;6;232;0;7;231;0;7;231;0;238;200;694
249;0;200;6;243;0;7;242;0;7;242;0;249;200;727
262;0;200;6;256;0;7;255;0;7;255;0;262;200;766
270;0;200;7;263;0;8;262;0;8;262;0;270;200;787
270;0;200;7;263;0;7;263;0;8;262;0;270;200;788
270;0;200;7;263;0;8;262;0;8;262;0;270;200;787
264;0;200;7;257;0;8;256;0;8;256;0;264;200;769
253;0;200;7;246;0;8;245;0;8;245;0;253;200;736
258;0;200;6;252;0;7;251;0;7;251;0;258;200;754
262;0;200;7;255;0;7;255;0;8;254;0;262;200;764
257;0;200;7;250;0;7;250;0;8;249;0;257;200;749
248;0;200;6;242;0;7;241;0;7;241;0;248;200;724
244;0;200;6;238;0;7;237;0;7;237;0;244;200;712
241;0;200;6;235;0;7;234;0;7;234;0;241;200;703
238;0;200;6;232;0;7;231;0;7;231;0;238;200;694
235;0;200;6;229;0;7;228;0;7;228;0;235;200;685
237;0;200;6;231;0;7;230;0;7;230;0;237;200;691
232;0;200;7;225;0;6;226;0;7;225;0;232;200;676
232;0;200;6;226;0;7;225;0;7;225;0;232;200;676
242;0;200;6;236;0;7;235;0;7;235;0;242;200;706
252;0;200;6;246;0;7;245;0;7;245;0;252;200;736
252;0;200;6;246;0;7;245;0;7;245;0;252;200;736
244;0;200;6;238;0;7;237;0;7;237;0;244;200;712
241;0;200;6;235;0;7;234;0;7;234;0;241;200;703
244;0;200;6;238;0;7;237;0;7;237;0;244;200;712
251;1;200;6;246;0;7;245;0;7;245;0;252;200;737
250;0;200;6;244;0;7;243;0;7;243;0;250;200;730
245;0;200;6;239;0;7;238;0;7;238;0;245;200;715
240;0;200;6;234;0;7;233;0;7;233;0;240;200;700
237;0;200;6;231;0;7;230;0;7;230;0;237;200;691
239;0;200;6;233;0;7;232;0;7;232;0;239;200;697
237;1;200;6;232;0;7;231;0;7;231;0;238;200;695
236;0;200;6;230;0;7;229;0;7;229;0;236;200;688
248;0;200;6;242;0;7;241;0;7;241;0;248;200;724
251;0;200;6;245;0;7;244;0;7;244;0;251;200;733
252;0;200;6;246;0;7;245;0;7;245;0;252;200;736
284;0;200;8;276;0;9;275;0;9;275;0;284;200;826
264;0;200;7;257;0;8;256;0;8;256;0;264;200;769
247;0;200;6;241;0;7;240;0;7;240;0;247;200;721
239;1;200;6;234;0;7;233;0;7;233;0;240;200;701
244;0;200;6;238;0;7;237;0;7;237;0;244;200;712
258;0;200;7;251;0;7;251;0;8;250;0;258;200;752
249;0;200;6;243;0;7;242;0;7;242;0;249;200;727
231;0;200;6;225;0;7;224;0;7;224;0;231;200;673
232;1;200;6;227;0;7;226;0;7;226;0;233;200;680
223;0;200;6;217;0;7;216;0;7;216;0;223;200;649
225;0;200;6;219;0;6;219;0;6;219;0;225;200;657
