work_0;idle_0;heavies_0;work_1;idle_1;heavies_1;work_2;idle_2;heavies_2;work_3;idle_3;heavies_3;total_time;total_heavies;total_idle
114;48;50;112;50;50;117;45;50;119;43;50;162;200;186
150;48;50;148;50;50;149;49;50;150;48;50;198;200;195
178;54;55;180;52;45;181;51;54;183;49;46;232;200;206
195;47;51;188;54;50;193;49;49;195;47;50;242;200;197
234;57;52;241;50;49;236;55;51;243;48;48;291;200;210
230;50;51;235;45;50;235;45;49;233;47;50;280;200;187
235;50;50;236;49;49;231;54;51;241;44;50;285;200;197
240;54;49;239;55;52;243;51;52;238;56;47;294;200;216
256;49;51;250;55;49;251;54;50;252;53;50;305;200;211
239;53;50;239;53;49;237;55;49;235;57;52;292;200;218
237;54;52;239;52;52;236;55;47;232;59;49;291;200;220
245;56;50;244;57;50;243;58;50;249;52;50;301;200;223
243;61;50;237;67;46;247;57;54;251;53;50;304;200;238
244;52;53;247;49;48;243;53;47;239;57;52;296;200;211
251;53;46;255;49;53;244;60;47;248;56;54;304;200;218
232;54;49;235;51;51;237;49;49;237;49;51;286;200;203
238;49;50;239;48;50;233;54;50;243;44;50;287;200;195
245;52;51;240;57;51;246;51;48;240;57;50;297;200;217
237;52;50;237;52;50;241;48;50;237;52;50;289;200;204
232;48;50;229;51;52;240;40;48;229;51;50;280;200;190
256;47;53;241;62;47;244;59;53;243;60;47;303;200;228
248;52;53;245;55;47;253;47;53;244;56;47;300;200;210
241;43;49;233;51;50;229;55;49;239;45;52;284;200;194
238;55;50;240;53;50;244;49;50;238;55;50;293;200;212
237;53;50;235;55;48;235;55;52;235;55;50;290;200;218
249;53;53;238;64;46;253;49;54;241;61;47;302;200;227
239;60;48;239;60;49;247;52;51;240;59;52;299;200;231
247;49;51;236;60;52;238;58;49;244;52;48;296;200;219
243;56;50;242;57;49;249;50;50;247;52;51;299;200;215
241;50;53;239;52;52;236;55;47;236;55;48;291;200;212
235;53;52;234;54;48;234;54;49;238;50;51;288;200;211
256;53;53;250;59;47;249;60;53;252;57;47;309;200;229
231;48;50;230;49;51;228;51;50;235;44;49;279;200;192
248;55;53;243;60;47;256;47;53;242;61;47;303;200;223
243;56;52;245;54;48;241;58;52;241;58;48;299;200;226
241;55;50;238;58;51;248;48;50;245;51;49;296;200;212
249;54;55;243;60;46;250;53;53;250;53;46;303;200;220
247;49;51;248;48;53;245;51;49;237;59;47;296;200;207
245;53;53;240;58;47;242;56;51;244;54;49;298;200;221
236;45;50;231;50;50;233;48;50;231;50;50;281;200;193
239;55;51;245;49;49;243;51;49;240;54;51;294;200;209
241;56;49;242;55;49;242;55;51;249;48;51;297;200;214
247;52;53;242;57;52;247;52;48;240;59;47;299;200;220
245;56;53;240;61;47;249;52;54;237;64;46;301;200;233
250;46;53;240;56;48;249;47;51;240;56;48;296;200;205
238;52;52;241;49;48;246;44;51;233;57;49;290;200;202
239;52;52;231;60;48;242;49;52;238;53;48;291;200;214
254;45;54;242;57;46;248;51;50;245;54;50;299;200;207
247;54;51;238;63;47;251;50;52;245;56;50;301;200;223
248;50;50;244;54;49;242;56;51;242;56;50;298;200;216
236;51;49;240;47;50;235;52;51;239;48;50;287;200;198
237;46;50;236;47;51;240;43;51;240;43;48;283;200;179
240;59;46;250;49;53;241;58;52;248;51;49;299;200;217
237;55;48;236;56;48;243;49;52;246;46;52;292;200;206
251;44;51;238;57;48;243;52;51;244;51;50;295;200;204
238;55;47;250;43;52;240;53;48;237;56;53;293;200;207
243;56;51;241;58;53;242;57;47;241;58;49;299;200;229
236;48;50;238;46;49;239;45;51;228;56;50;284;200;195
254;51;47;257;48;54;249;56;51;248;57;48;305;200;212
236;54;49;237;53;51;239;51;50;242;48;50;290;200;206
241;55;47;242;54;53;236;60;47;246;50;53;296;200;219
245;53;54;238;60;47;251;47;52;245;53;47;298;200;213
237;52;50;241;48;52;244;45;50;232;57;48;289;200;202
246;46;51;236;56;49;238;54;48;246;46;52;292;200;202
245;54;52;236;63;52;243;56;48;239;60;48;299;200;233
