work_0;idle_0;heavies_0;work_1;idle_1;heavies_1;work_2;idle_2;heavies_2;work_3;idle_3;heavies_3;total_time;total_heavies;total_idle
47;10;50;44;13;50;46;11;50;46;11;50;57;200;45
53;9;53;49;13;53;44;18;47;46;16;47;62;200;56
48;13;53;50;11;54;46;15;46;47;14;47;61;200;53
49;13;53;51;11;53;47;15;47;45;17;47;62;200;56
49;12;52;48;13;50;47;14;48;48;13;50;61;200;52
50;10;51;50;10;52;45;15;49;47;13;48;60;200;48
43;14;51;47;10;50;46;11;49;44;13;50;57;200;48
50;10;52;50;10;52;47;13;48;47;13;48;60;200;46
46;13;51;48;11;52;47;12;48;46;13;49;59;200;49
48;10;50;48;10;51;45;13;50;44;14;49;58;200;47
52;9;54;46;15;47;46;15;47;52;9;52;61;200;48
50;11;53;48;13;53;46;15;47;46;15;47;61;200;54
47;14;53;50;11;53;46;15;46;44;17;48;61;200;57
48;13;53;50;11;53;45;16;47;46;15;47;61;200;55
49;12;53;45;16;55;44;17;46;46;15;46;61;200;60
49;10;51;50;9;51;46;13;49;48;11;49;59;200;43
49;12;53;50;11;53;46;15;47;46;15;47;61;200;53
49;13;53;51;11;53;46;16;47;47;15;47;62;200;55
49;10;52;47;12;52;45;14;48;46;13;48;59;200;49
50;9;51;49;10;51;45;14;49;44;15;49;59;200;48
50;9;52;48;11;53;45;14;48;45;14;47;59;200;48
51;10;53;49;12;53;45;16;47;45;16;47;61;200;54
48;14;52;46;16;52;47;15;48;47;15;48;62;200;60
48;11;51;47;12;52;47;12;49;46;13;48;59;200;48
49;12;53;45;16;53;46;15;47;44;17;47;61;200;60
50;11;53;51;10;53;47;14;47;47;14;47;61;200;49
50;11;54;52;9;53;46;15;46;46;15;47;61;200;50
48;13;54;51;10;53;47;14;47;46;15;46;61;200;52
50;11;53;51;10;54;46;15;47;46;15;46;61;200;51
50;11;53;50;11;53;46;15;47;44;17;47;61;200;54
50;11;53;51;10;54;46;15;47;46;15;46;61;200;51
51;10;53;49;12;53;44;17;47;47;14;47;61;200;53
49;12;54;50;11;52;45;16;47;45;16;47;61;200;55
49;12;53;48;13;54;46;15;46;47;14;47;61;200;54
50;11;54;50;11;54;46;15;46;46;15;46;61;200;52
50;11;54;50;11;53;47;14;47;45;16;46;61;200;52
50;11;53;51;10;53;46;15;47;45;16;47;61;200;52
48;17;49;47;18;51;49;16;49;50;15;51;65;200;66
46;12;50;47;11;51;46;12;49;47;11;50;58;200;46
45;12;50;45;12;50;45;12;50;45;12;50;57;200;48
46;13;52;47;12;49;48;11;51;47;12;48;59;200;48
46;14;54;49;11;52;46;14;47;46;14;47;60;200;53
46;13;52;45;14;52;46;13;48;45;14;48;59;200;54
46;12;52;48;10;50;48;10;49;45;13;49;58;200;45
48;10;50;48;10;50;46;12;50;47;11;50;58;200;43
48;10;50;47;11;50;48;10;50;49;9;50;58;200;40
50;9;52;49;10;52;46;13;48;46;13;48;59;200;45
48;9;50;46;11;50;44;13;50;45;12;50;57;200;45
45;12;50;47;10;49;45;12;51;44;13;50;57;200;47
52;10;54;52;10;52;46;16;46;48;14;48;62;200;50
49;12;54;50;11;53;46;15;46;46;15;47;61;200;53
48;11;51;48;11;51;48;11;49;46;13;49;59;200;46
47;12;51;47;12;52;47;12;48;42;17;49;59;200;53
48;11;51;50;9;52;45;14;49;46;13;48;59;200;47
51;10;53;45;16;47;46;15;46;47;14;54;61;200;55
47;14;54;50;11;51;45;16;47;46;15;48;61;200;56
48;13;53;50;11;53;46;15;47;44;17;47;61;200;56
50;11;53;51;10;53;46;15;47;46;15;47;61;200;51
49;12;54;50;11;53;46;15;47;45;16;46;61;200;54
48;10;51;46;12;51;47;11;49;44;14;49;58;200;47
48;13;54;49;12;51;48;13;48;46;15;47;61;200;53
47;12;52;49;10;51;47;12;48;45;14;49;59;200;48
51;10;53;49;12;52;47;14;47;46;15;48;61;200;51
50;9;52;50;9;51;46;13;49;47;12;48;59;200;43
50;10;52;47;13;53;47;13;47;44;16;48;60;200;52
48;11;52;47;12;52;47;12;48;46;13;48;59;200;48
49;12;54;47;14;49;46;15;46;50;11;51;61;200;52
52;9;53;51;10;53;46;15;47;45;16;47;61;200;50
48;10;50;47;11;51;47;11;50;47;11;49;58;200;43
51;10;53;47;14;53;47;14;47;47;14;47;61;200;52
52;9;53;49;12;53;46;15;47;46;15;47;61;200;51
48;13;54;52;9;53;43;18;47;45;16;46;61;200;56
47;14;53;51;10;53;47;14;47;44;17;47;61;200;55
49;10;52;50;9;52;47;12;48;47;12;48;59;200;43
46;12;50;46;12;50;47;11;50;48;10;50;58;200;45
46;11;50;47;10;50;47;10;50;47;10;50;57;200;41
44;13;52;47;10;49;46;11;50;48;9;49;57;200;43
50;10;52;47;13;48;46;14;48;49;11;52;60;200;48
51;9;53;51;9;53;47;13;47;46;14;47;60;200;45
50;11;54;51;10;54;46;15;46;45;16;46;61;200;52
47;12;51;48;11;51;48;11;49;47;12;49;59;200;46
51;8;52;51;8;51;48;11;49;47;12;48;59;200;39
47;10;50;49;8;50;48;9;50;47;10;50;57;200;37
47;13;52;44;16;49;50;10;51;46;14;48;60;200;53
47;20;54;48;19;51;45;22;46;47;20;49;67;200;81
51;18;52;48;21;51;46;23;49;48;21;48;69;200;83
50;19;50;46;23;50;47;22;50;48;21;50;69;200;85
52;27;53;46;33;46;47;32;47;51;28;54;79;200;120
48;32;51;49;31;50;49;31;49;49;31;50;80;200;125
52;40;53;53;39;53;47;45;47;47;45;47;92;200;169
51;44;52;51;44;51;48;47;48;48;47;49;95;200;182
51;48;51;51;48;51;60;39;49;59;40;49;99;200;175
54;49;54;53;50;53;77;26;46;73;30;47;103;200;155
59;51;52;59;51;53;89;21;48;88;22;47;110;200;145
76;40;53;75;41;52;92;24;47;90;26;48;116;200;131
103;20;53;103;20;53;93;30;47;93;30;47;123;200;100
97;27;49;94;30;49;100;24;51;97;27;51;124;200;108
102;23;54;102;23;53;94;31;47;92;33;46;125;200;110
104;27;53;105;26;53;93;38;47;94;37;47;131;200;128
98;29;52;102;25;51;94;33;48;97;30;49;127;200;117
