work_0;idle_0;heavies_0;work_1;idle_1;heavies_1;work_2;idle_2;heavies_2;work_3;idle_3;heavies_3;total_time;total_heavies;total_idle
50;12;53;45;17;47;47;15;53;45;17;47;62;200;61
49;11;51;51;9;51;46;14;49;47;13;49;60;200;47
46;12;51;48;10;50;47;11;49;45;13;50;58;200;46
50;12;54;51;11;54;45;17;46;45;17;46;62;200;57
46;13;51;49;10;50;47;12;50;46;13;49;59;200;48
47;12;52;49;10;51;45;14;49;48;11;48;59;200;47
45;12;51;46;11;50;46;11;49;44;13;50;57;200;47
49;13;54;45;17;46;49;13;50;49;13;50;62;200;56
48;13;51;49;12;53;46;15;50;46;15;46;61;200;55
47;13;53;48;12;52;46;14;47;44;16;48;60;200;55
48;13;54;47;14;47;52;9;52;47;14;47;61;200;50
43;15;51;46;12;50;46;12;49;47;11;50;58;200;50
49;13;54;50;12;54;45;17;46;44;18;46;62;200;60
44;18;48;48;14;48;49;13;52;48;14;52;62;200;59
45;15;53;47;13;49;46;14;48;48;12;50;60;200;54
49;13;53;47;15;47;50;12;52;47;15;48;62;200;55
50;12;51;48;14;50;45;17;47;48;14;52;62;200;57
52;11;54;53;10;53;45;18;47;45;18;46;63;200;57
50;12;54;50;12;54;46;16;46;44;18;46;62;200;58
48;11;51;46;13;52;47;12;48;46;13;49;59;200;49
46;15;49;51;10;54;48;13;50;46;15;47;61;200;53
48;14;50;45;17;46;48;14;54;48;14;50;62;200;59
42;15;50;42;15;50;43;14;51;46;11;49;57;200;55
47;11;50;45;13;52;45;13;49;48;10;49;58;200;47
44;17;49;46;15;49;43;18;51;47;14;51;61;200;64
45;13;52;49;9;50;48;10;49;49;9;49;58;200;41
50;9;50;47;12;52;47;12;49;49;10;49;59;200;43
48;10;51;49;9;50;49;9;49;46;12;50;58;200;40
48;14;50;49;13;50;48;14;50;48;14;50;62;200;55
46;26;48;48;24;52;48;24;52;48;24;48;72;200;98
50;27;54;52;25;52;47;30;47;46;31;47;77;200;113
49;32;49;49;32;51;49;32;50;50;31;50;81;200;127
49;39;50;51;37;51;50;38;50;48;40;49;88;200;154
51;45;51;51;45;51;53;43;49;52;44;49;96;200;177
52;52;52;60;44;50;66;38;47;58;46;51;104;200;180
59;51;52;58;52;52;75;35;48;74;36;48;110;200;174
80;32;49;83;29;51;87;25;50;85;27;50;112;200;113
94;27;52;95;26;50;91;30;47;91;30;51;121;200;113
98;25;50;100;23;51;97;26;50;95;28;49;123;200;102
96;34;51;96;34;51;97;33;49;96;34;49;130;200;135
101;38;52;99;40;50;95;44;49;97;42;49;139;200;164
100;45;52;102;43;53;100;45;48;100;45;47;145;200;178
102;46;51;100;48;51;98;50;49;102;46;49;148;200;190
101;52;51;112;41;49;112;41;49;104;49;51;153;200;183
101;60;51;103;58;51;105;56;49;104;57;49;161;200;231
101;51;51;101;51;50;104;48;50;102;50;49;152;200;200
117;50;50;106;61;53;117;50;50;126;41;47;167;200;202
107;57;51;108;56;51;116;48;49;114;50;49;164;200;211
100;62;50;100;62;51;103;59;49;104;58;50;162;200;241
